"iso3","country","region","income","life_exp","infant_mort","fertility","pop65","urban_pct","gdp_pc","health_exp_pct","internet_pct","prim_enr","sec_enr","ter_enr","prim_compl","educ_exp","mobile","broadband","fixedline","agri_va","ind_va","manuf_va","serv_va","exports","imports","trade","capform","cons_hh","cons_gov","tax_rev","inflation","gni_pc","gdp_growth","pop0014","pop1564","dep_ratio","dep_old","dep_young","pop_tot","pop_grow","death_rate","birth_rate","net_migr","rural_pct","urb_grow","lgst_city","land_area","pop_dens","agri_land","arable","forest","air_pax","air_dep","credit_priv","fdi"
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",74.125,13.9,1.67,7.527,58.438,7770.594,3.415,88,99.808,90.953,41.002,99.703,3.047,107.506,20.366,15.941,4.612,56.147,5.283,32.071,59.987,26.995,86.982,12.004,43.363,11.642,15.448,13.852,5670,4.715,22.798,69.676,43.522,10.802,32.719,10141756,0.04,6,12.1,9086,41.562,0.163,40.514,82650,122.707,57.84,25.31,13.972,2171085,17594.1,18.298,-5.678
"BHS","Bahamas, The","Latin America & Caribbean ","High income",74.491,11.6,1.379,11.252,81.32,34957.161,7.043,92.256,NA,NA,NA,NA,2.624,101.624,21.136,21.755,0.414,9.504,1.079,80.31,37.159,38.824,75.983,23.816,62.134,13.174,15.531,5.605,33790,10.878,18.751,69.997,42.864,16.075,26.789,397538,0.293,8.558,10.942,1001,18.68,0.099,NA,10010,39.714,1.299,0.799,50.935,1303311.916,37847,NA,3.82
"BHR","Bahrain","Middle East, North Africa, Afghanistan & Pakistan","High income",80.992,7,1.839,3.499,100,30470.522,3.891,100,96.993,103.393,50.307,101.043,1.712,139.636,18.003,17.21,0.246,46.39,20.935,49.241,95.961,71.18,167.141,24.59,36.937,13.692,NA,3.626,28300,6.18,19.079,77.422,29.162,4.519,24.643,1524693,1.342,2.094,13.282,18975,0,1.342,45.16,790,1929.991,10.253,2.658,0.937,4692392,54027,NA,4.2
"BGD","Bangladesh","South Asia","Lower middle income",74.265,24.4,2.179,6.135,31.674,2716.486,2.215,41.617,107.802,67.038,23.501,96.616,2.085,109.867,7.17,0.17,11.218,33.92,21.765,51.038,12.882,20.898,33.78,32.047,69.077,5.699,NA,7.697,2850,7.1,28.77,65.095,53.622,9.425,44.197,169384897,1.024,5.037,20.583,-549990,68.326,1.895,41.897,130260,1300.36,72.371,60.784,14.459,5267081.561,54017,38.956,0.348
"BRB","Barbados","Latin America & Caribbean ","High income",75.676,9.6,1.712,15.699,59.354,24393.219,5.874,69.064,90.188,104.222,55.06,87.064,4.14,114.581,37.484,42.971,1.448,12.81,5.152,75.709,NA,NA,NA,NA,NA,NA,NA,NA,24760,15.945,17.725,66.576,50.205,23.581,26.624,282318,0.061,11.097,11.249,-80,40.646,0.115,NA,430,656.553,23.256,16.279,14.651,NA,NA,61.058,2.904
"BLR","Belarus","Europe & Central Asia","Upper middle income",74.103,2,1.326,16.507,78.473,7994.648,6.578,89.507,95.431,99.06,77.098,94.224,4.628,128.315,34.067,46.11,8.042,33.029,23.994,48.203,63.051,56.973,120.024,21.598,53.431,17.229,11.234,15.21,7210,-4.658,16.96,66.533,50.301,24.81,25.491,9228071,-0.804,13.246,8.062,-8000,21.527,-0.367,28.289,202990,45.461,39.874,27.617,43.335,1290254,12387,NA,2.177
"BEL","Belgium","Europe & Central Asia","High income",81.749,3.2,1.53,19.767,87.489,50639.026,10.74,94.008,102.177,142.918,83.574,NA,6.276,101.68,43.566,25.478,0.671,19.989,12.525,69.438,94.359,96.694,191.053,27.362,51.569,23.404,22.67,9.598,54330,4.025,16.53,63.703,56.978,31.03,25.948,11680210,0.808,10,9.8,118615,12.511,0.875,20.644,30494,383.033,44.566,28.319,22.604,10165432.504,105532,72.555,2.221
"BLZ","Belize","Latin America & Caribbean ","Upper middle income",72.19,10.9,1.949,4.708,42.137,7068.217,4.216,69.983,101.531,87.438,23.977,108.684,4.604,67.175,9.754,4.421,7.749,15.487,6.69,61.605,52.579,55.261,107.84,20.192,64.454,15.804,NA,6.277,6710,9.251,27.611,67.681,47.752,6.957,40.796,402733,1.851,5.409,17.391,5936,57.863,1.251,NA,22810,17.656,7.979,4.384,55.008,854134.339,102672,42.487,4.95
"BEN","Benin","Sub-Saharan Africa ","Lower middle income",60.475,47.8,4.634,3.063,50.963,1266.427,2.982,30.537,108.036,43.561,10.235,61.642,3.097,105.745,0.153,0.011,26.897,17.018,9.824,46.894,20.815,23.566,44.382,31.148,61.545,10.058,NA,1.351,1360,6.253,42.121,54.817,82.426,5.587,76.839,13759501,2.547,8.948,34.35,-192,49.037,4.063,16.952,112760,122.025,43.062,31.447,26.917,NA,NA,17.1,2.158
"BTN","Bhutan","South Asia","Lower middle income",72.754,15.1,1.478,6.246,40.937,3711.328,3.918,88.356,105.266,89.983,14.578,NA,7.47,95.13,0.632,2.506,14.671,31.825,8.727,51.197,25.499,60.072,85.571,55.779,57.777,21.017,NA,5.639,3600,5.214,22.039,71.715,39.44,8.709,30.731,780914,0.703,6.143,12.807,291,59.063,2.252,NA,38140,20.475,13.726,2.583,71.552,130456.715,2089,67.871,0.29
"BOL","Bolivia","Latin America & Caribbean ","Lower middle income",67.434,15.6,2.584,5.479,70.635,4219.461,7.159,72.623,99.196,90.373,NA,96.544,7.576,101.572,10.998,4.003,8.66,32.019,12.256,52.858,27.794,29.731,57.525,18.041,67.513,16.383,NA,1.746,4190,3.747,30.499,64.022,56.195,8.558,47.637,12077154,1.164,7.681,21.566,-3008,29.365,1.576,22.363,1083300,11.148,35.831,5.135,46.54,5078536,45750,62.948,0.012
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",76.777,5.5,1.481,21.103,51.022,7655.594,8.716,78.846,101.605,87.037,45.606,100.881,2.97,118.944,27.319,20.31,4.826,24.663,14.371,54.502,48.307,61.898,110.205,27.903,69.057,18.662,19.091,14.021,7710,4.227,13.377,65.52,52.625,32.209,20.416,3204802,-1.244,14.05,7.748,-485,48.978,-0.196,21.067,51200,62.594,21.816,7.363,42.733,NA,NA,48.099,3.788
