"iso3","country","region","income","life_exp","infant_mort","fertility","pop65","urban_pct","gdp_pc","health_exp_pct","internet_pct","prim_enr","sec_enr","ter_enr","prim_compl","educ_exp","mobile","broadband","fixedline","agri_va","ind_va","manuf_va","serv_va","exports","imports","trade","capform","cons_hh","cons_gov","tax_rev","inflation","gni_pc","gdp_growth","pop0014","pop1564","dep_ratio","dep_old","dep_young","pop_tot","pop_grow","death_rate","birth_rate","net_migr","rural_pct","urb_grow","lgst_city","land_area","pop_dens","agri_land","arable","forest","air_pax","air_dep","credit_priv","fdi"
"MLI","Mali","Sub-Saharan Africa ","Low income",60.035,51.2,5.692,2.426,30.402,976.914,3.722,35.199,NA,NA,NA,NA,4.045,112.12,0.774,1.33,32.718,25.823,7.372,35.446,26.026,35.536,61.561,22.182,74.744,12.584,NA,9.621,1000,3.703,46.75,50.824,96.759,4.774,91.985,23072640,3.009,8.859,40.345,-39951,69.598,5.327,40.159,1220190,18.909,35.466,6.836,10.897,NA,NA,24.751,3.174
"MLT","Malta","Middle East, North Africa, Afghanistan & Pakistan","High income",82.298,5,1.08,19.284,95.6,35658.832,9.091,91.541,97.476,101.955,74.59,97.047,4.713,132.861,43.445,49.058,0.833,11.288,6.244,80.584,128.299,116.282,244.582,26.352,44.021,17.61,22.978,6.154,34840,2.593,13.211,67.504,48.139,28.568,19.571,531113,2.471,8,8.1,2480,4.4,2.561,NA,320,1659.728,27.344,24.375,1.438,1964262.009,15430,68.922,114.99
"MHL","Marshall Islands","East Asia & Pacific","Upper middle income",66.725,24.1,2.936,4.112,77.986,6455.66,13.608,64.267,108.976,91.704,41.335,98.712,7.701,39.706,2.35,4.858,20.58,9.591,2.52,69.063,39.978,88.36,128.338,26.439,71.993,62.079,NA,NA,7580,-0.701,34.618,61.27,63.213,6.711,56.502,40077,-3.168,6.862,21.989,-1829,22.014,-2.696,NA,180,222.65,38.889,2.778,52.222,12174.001,622,NA,-3.029
"MRT","Mauritania","Sub-Saharan Africa ","Lower middle income",68.281,32.1,4.77,3.209,58.812,1961.282,4.67,42.465,NA,NA,NA,NA,1.39,109.884,0.415,0.974,21.23,29.138,6.625,44.613,39.738,62.288,102.026,49.068,56.681,16.801,NA,9.525,2010,6.796,43.352,53.439,87.129,6.004,81.125,4875637,2.93,5.627,34.844,2999,41.188,4.49,49.924,1030700,4.73,38.527,0.437,0.293,393753.812,4915,NA,14.657
"MUS","Mauritius","Sub-Saharan Africa ","Upper middle income",73.515,13.9,1.33,12.396,39,10246.502,5.842,75.5,NA,NA,44.203,NA,4.841,164.309,26.196,36.211,3.555,18.066,11.801,65.965,67.029,80.635,147.664,20.411,70.443,15.945,19.038,10.774,11810,8.342,15.476,72.129,38.641,17.186,21.455,1262523,-0.301,10.3,9.7,-2824,61,-0.499,NA,1997,632.21,43.065,37.556,19.454,1111493,7601,72.369,4.22
"MEX","Mexico","Latin America & Caribbean ","Upper middle income",73.973,12.8,1.94,7.745,79.2,11405.794,5.709,78.632,102.005,98.358,46.406,102.239,4.06,105.721,20.607,20.618,3.898,33.164,21.486,58.131,42.932,45.866,88.798,22.77,70.559,11.131,13.404,7.896,10730,3.71,25.311,66.943,49.38,11.57,37.81,128613117,0.753,6.521,16.041,-108438,20.8,1.091,21.682,1943950,66.161,50.87,10.58,33.662,70196270,536535,34.249,2.673
"FSM","Micronesia, Fed. Sts.","East Asia & Pacific","Upper middle income",66.961,21.6,2.785,5.519,22.412,3703.667,12.627,39.028,87.106,NA,NA,83.144,NA,19.989,5.818,5.776,23.268,5.027,0.51,69.201,28.899,75.861,104.76,NA,NA,NA,NA,5.409,4020,-3.114,32.319,62.162,60.871,8.879,51.992,112114,0.438,7.613,22.509,-1159,77.588,0.523,NA,700,160.163,7.143,2.857,92.114,NA,NA,NA,NA
"MDA","Moldova","Europe & Central Asia","Upper middle income",71.546,14.7,1.694,15.117,42.405,5744.296,6.965,74.919,106.973,97.614,68.057,107.962,6.104,137.183,26.318,31.288,8.114,19.091,9.251,58.889,41.226,70.891,112.118,27.31,84.846,17.509,18.921,28.737,5540,-4.648,20.146,64.737,54.471,23.351,31.119,2528654,-2.621,13.07,10.545,89154,57.595,-1.212,45.756,32880,88.054,74.97,56.752,11.755,779683.818,6481.09,27.511,4.034
"MCO","Monaco","Europe & Central Asia","High income",85.746,2.3,2.114,37.061,100,226052.061,3.395,98.752,NA,NA,NA,NA,1.171,100.062,55.228,109.55,NA,12.276,NA,87.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.266,12.901,50.038,99.846,74.066,25.78,38931,1.043,23.496,8.687,995,0,1.043,NA,2.084,18680.902,NA,NA,0,NA,NA,NA,NA
"MNG","Mongolia","East Asia & Pacific","Upper middle income",71.901,11.6,2.7,4.616,69.784,4993.515,8.852,81.077,93.347,93.551,67.7,96.12,NA,142.809,12.901,12.675,13.028,35.312,7.117,40.976,65.061,71.267,136.328,42.332,51.86,13.919,15.774,15.151,4340,5.033,32.885,62.499,60.003,7.386,52.617,3433748,1.467,5.6,19.5,0,30.216,2.285,68.631,1557510,2.205,71.91,0.729,9.098,358016,3679,40.977,14.605
"MNE","Montenegro","Europe & Central Asia","Upper middle income",76.188,2.1,1.8,17.146,65.401,10038.185,10.191,88.222,105.621,92.161,57.432,110.56,NA,207.278,31.892,31.009,3.997,13.433,3.751,63.155,51.345,74.111,125.456,27.583,77.119,18.065,NA,13.04,10420,7.74,18.471,64.383,55.321,26.631,28.69,623591,-0.234,11.3,11.3,26332,34.599,-0.12,NA,13450,46.364,18.885,0.669,61.487,318363,3711,47.155,13.939
"MAR","Morocco","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",75.161,15.9,2.256,7.51,62.512,3463.138,5.753,89.9,116.555,84.455,45.94,98.928,5.912,141.87,6.472,7.086,9.796,26.086,16.05,54.499,44.712,56.195,100.906,30.46,62.082,18.941,22.059,6.657,3700,1.813,26.404,66.086,51.318,11.364,39.955,37329064,1.009,5.572,17.035,-38594,37.488,1.32,16.458,446300,83.641,65.809,14.511,12.914,7466482,70399,87.536,1.748
"MOZ","Mozambique","Sub-Saharan Africa ","Low income",63.011,45.9,4.84,2.773,35.054,578.273,8.249,18.962,119.162,NA,NA,72.366,5.976,45.818,0.198,0.089,25.638,23.245,8.138,39.324,49.825,85.449,135.275,43.203,75.92,16.498,22.661,10.279,500,4.369,44.953,52.274,91.301,5.305,85.996,32656246,2.947,7.255,37.99,-34936,64.946,4.685,15.697,786380,41.527,52.773,7.185,46.119,549525,10265,20.72,16.004
"NAM","Namibia","Sub-Saharan Africa ","Lower middle income",64.19,38.8,3.248,3.523,49.529,4349.799,9.622,62.997,120.342,81.816,26.109,NA,9.392,100.558,3.292,2.97,8.759,27.112,11.159,55.41,40.458,58.804,99.263,19.974,75.364,23.007,27.167,6.081,4280,5.399,37.473,59.004,69.48,5.971,63.509,2889662,2.776,7.471,26.343,22212,50.471,3.733,32.219,823290,3.51,47.143,0.972,7.891,NA,NA,61.397,8.402
"NRU","Naoero","East Asia & Pacific","High income",61.93,8.7,3.379,2.432,100,15309.835,18.342,83.227,101.39,92.781,NA,NA,5.918,87.171,9.957,0,NA,NA,NA,NA,45.382,95.747,141.129,NA,NA,NA,35.203,NA,20890,0,38.323,59.245,68.803,4.105,64.697,11801,0.783,7.472,26.613,-144,0,0.783,NA,20,590.05,20,NA,0,13408,387,NA,-4.99
"NPL","Nepal","South Asia","Lower middle income",70.087,23.9,2.002,6.198,66.299,1385.911,6.53,45.451,121.235,84.103,14.844,101.509,4.136,121.114,8.518,2.702,20.914,12.181,4.832,52.425,6.702,42.271,48.973,37.644,85.004,8.413,NA,7.67,1380,5.631,28.937,64.865,54.166,9.554,44.611,29715436,0.812,6.888,19.643,-379321,33.701,1.047,7.721,143350,207.293,26.121,12.583,41.591,4438086,70432,94.467,0.16
"NLD","Netherlands","Europe & Central Asia","High income",81.615,3.4,1.49,19.901,94.986,59123.319,10.031,92.52,104.215,138.768,NA,NA,5.179,115.821,43.564,25.524,1.642,18.656,10.348,69.071,96.444,87.664,184.107,22.863,44.017,24.34,23.913,10.001,62110,5.007,15.351,64.748,54.446,30.737,23.709,17700982,0.953,9.6,9.5,224472,5.014,1.329,6.934,33670,525.72,53.579,29.819,11.03,35579242,272318,88.82,1.477
"NZL","New Zealand","East Asia & Pacific","High income",81.959,4.2,1.67,16.446,83.855,49141.632,10.568,93.073,96.557,114.775,77.01,NA,5.167,115.984,36.304,14.771,4.576,19.632,8.913,67.403,24.047,29.162,53.209,26.43,57.618,21.067,29.229,7.172,49090,3.345,18.64,64.913,54.051,25.336,28.716,5081700,-0.057,7.58,11.57,21404,16.145,-0.027,38.776,263310,19.299,37.017,2.024,37.719,11715300.913,157940.983,145.994,3.927
"NIC","Nicaragua","Latin America & Caribbean ","Lower middle income",74.463,12.6,2.24,5.239,58.995,2322.891,8.979,59.38,NA,NA,NA,81.72,3.8,104.278,5.008,3.205,16.803,25.944,14.444,46.361,49.896,65.559,115.455,21.744,79.979,13.94,19.861,10.467,2150,3.55,29.647,65.114,53.578,8.046,45.531,6730654,1.285,4.691,19.695,-7996,41.005,1.516,27.277,120340,55.93,42.305,12.49,26.654,NA,NA,29.7,8.232
"NER","Niger","Sub-Saharan Africa ","Low income",60.398,68,6.135,2.551,17.477,613.615,4.35,13.087,66.254,NA,NA,50.435,3.712,63.377,NA,0.249,41.457,17.752,6.921,35.766,10.146,27.001,37.146,33.767,68.34,14.748,NA,4.226,650,12.222,47.327,50.123,99.511,5.089,94.422,25311973,3.252,9.173,41.95,995,82.523,4.679,31.283,1266700,19.983,36.788,13.973,0.833,16149,468,12.41,6.219
"NGA","Nigeria","Sub-Saharan Africa ","Lower middle income",54.079,70.2,4.552,3.008,61.373,2899.16,4.21,39.147,NA,NA,NA,NA,0.349,99.585,0.043,0.043,28.552,19.169,9.137,51.175,NA,NA,NA,NA,NA,NA,NA,18.847,2940,4.319,41.952,55.04,81.687,5.465,76.222,223150896,2.093,11.953,33.192,-51680,38.627,3.41,11.236,910770,245.013,75.966,40.484,23.387,5212264.541,65701.363,9.562,-0.029
"MKD","North Macedonia","Europe & Central Asia","Upper middle income",74.425,3.7,1.6,17.048,61.953,7606.238,7.422,83.85,97.487,91.452,53.16,93.413,NA,111.303,28.004,23.833,7.28,23.024,13.185,56.367,72.785,93.362,166.147,36.017,69.538,15.022,17.688,14.205,7570,2.759,17.199,65.754,52.083,25.927,26.156,1831712,-0.294,12.3,9.9,-5296,38.047,0.14,53.401,25220,72.629,49.841,16.495,39.71,NA,NA,54.295,6.131
"NOR","Norway","Europe & Central Asia","High income",82.51,2,1.41,18.33,82.956,113122.131,7.909,99,98.967,119.443,97.642,99.279,5.432,111.657,45.664,2.661,1.518,47.867,4.78,43.455,53.58,26.342,79.922,20.997,34.142,17.623,30.31,5.764,97270,4.08,16.786,64.884,54.122,28.251,25.871,5457127,0.898,8.4,9.4,58040,17.044,1.013,23.659,364270,14.981,2.704,2.207,33.48,NA,NA,106.52,2.313
"OMN","Oman","Middle East, North Africa, Afghanistan & Pakistan","High income",77.911,8.5,2.449,2.658,80.012,23223.583,3.066,95.245,89.246,91.965,NA,86.59,4.383,136.801,10.883,9.082,2.108,59.485,10.521,42.326,63.251,42.495,105.745,27.321,34.271,17.652,NA,2.506,19270,7.986,26.221,71.122,40.604,3.737,36.868,4730226,4.98,2.13,16.353,339063,19.988,4.84,42.873,309500,15.283,4.737,0.267,0.008,5656180,104102,55.79,6.255
"PLW","Palau","East Asia & Pacific","High income",68.922,19.4,1.927,10.378,79.113,13934.952,14.878,82.567,92.014,89.053,51.527,92.149,3.576,135.143,6.994,34.653,3.304,12.216,1.078,75.866,15.438,88.214,103.652,44.222,87.318,42.27,NA,12.353,14100,-0.463,18.816,70.806,41.236,14.657,26.579,17759,-0.135,11.502,11.115,-20,20.887,-0.1,NA,460,38.607,9.348,0.652,90.37,NA,NA,NA,30.05
"PAN","Panama","Latin America & Caribbean ","High income",79.324,11.9,2.139,8.766,65.821,17378.607,9.046,67.284,101.563,NA,57.816,93.053,3.378,152.062,16.386,19.157,2.604,26.408,5.078,68.151,48.027,45.449,93.475,35.855,48.804,12.763,8.599,2.86,17130,11.039,25.67,65.564,52.524,13.371,39.153,4400773,1.266,4.751,16.239,7967,34.179,1.284,66.904,74180,59.326,29.406,7.617,56.498,13807991,113516,NA,3.093
"PNG","Papua New Guinea","East Asia & Pacific","Lower middle income",65.274,33.1,3.165,3.247,14.736,3102.294,2.615,18.257,111.086,NA,NA,NA,0.643,49.191,0.215,1.693,16.909,40.279,1.627,38.958,NA,NA,NA,NA,NA,NA,14.77,5.253,2690,5.707,34.115,62.638,59.648,5.184,54.464,10203169,1.882,6.846,25.16,-787,85.264,3.912,26.608,452860,22.531,3.103,0.729,79.028,1475719,41566,15.043,3.77
"PRY","Paraguay","Latin America & Caribbean ","Upper middle income",72.319,15.5,2.444,6.231,68.64,6189.102,7.735,76.259,91.029,82.307,NA,87.149,3.396,128.088,11.153,2.493,10.927,34.284,19.493,47.663,34.4,39.474,73.874,27.76,65.628,11.685,10.294,9.766,5900,-0.028,28.926,64.843,54.219,9.609,44.61,6760464,1.135,6.359,20.356,-12500,31.36,3.097,74.398,396012.042,17.071,54.107,11.518,39.25,321913,4628,51.094,2.044
"PER","Peru","Latin America & Caribbean ","Upper middle income",76.834,11.6,2.004,8.811,84.366,7353.746,6.097,74.675,114.349,103.591,NA,NA,3.84,124.119,9.45,5.37,7.171,34.917,12.389,49.721,28.82,28.453,57.273,22.357,63.887,13.389,NA,8.334,6930,2.818,24.765,66.424,50.548,13.264,37.283,33475438,0.959,6.389,16.183,33982,15.634,1.456,39.107,1280000,26.153,19.051,3.061,56.238,14774576,106349,45.649,4.628
"PHL","Philippines","East Asia & Pacific","Upper middle income",69.472,22.4,1.929,5.041,54.79,3548.069,5.156,75.211,90.613,92.291,38.401,86.332,3.58,147.429,7.639,4.211,9.552,29.221,17.229,61.227,28.387,44.042,72.43,24.686,75.925,15.044,14.619,5.821,4010,7.581,29.331,65.628,52.375,7.682,44.693,113964338,0.76,6.266,16.057,-221754,45.21,1.383,23.071,298170,382.213,42.393,18.748,24.343,27737718,208898,48.873,2.348
"POL","Poland","Europe & Central Asia","High income",77.156,3.7,1.29,19.019,59.832,18891.212,6.466,86.941,100.594,108.482,75.291,NA,4.314,137.002,23.837,13.643,2.806,29.181,17.651,57.222,62.353,60.669,123.021,22.059,58.138,18.119,17.123,14.429,19110,5.255,15.324,65.657,52.307,28.968,23.339,36821749,-0.433,12.2,8.3,967744,40.168,-0.396,8.145,306090,120.297,46.313,36.476,31.059,7057609,91538,39.316,6.006
"PRT","Portugal","Europe & Central Asia","High income",81.632,2.7,1.43,23.688,61.126,24620.52,10.549,84.497,108.104,120.926,75.071,100.012,4.552,122.801,42.937,52.199,1.905,18.403,12.462,66.193,49.482,51.882,101.364,21.374,63.624,17.403,23.173,7.833,25880,6.986,13.002,63.31,57.953,37.416,20.537,10434332,0.697,11.9,8,68696,38.874,0.748,46.819,91605.6,113.905,42.789,10.18,36.155,15664429.666,157640.666,89.456,5.084
"QAT","Qatar","Middle East, North Africa, Afghanistan & Pakistan","High income",81.857,5,1.739,1.391,99.244,88701.463,2.186,98.038,94.197,102.968,35.085,94.648,NA,162.249,12.641,18.108,0.257,65.349,9.285,38.541,68.598,31.615,100.214,30.643,19.497,12.877,NA,4.995,71050,4.185,15.248,83.361,19.96,1.669,18.292,2657333,5.907,0.932,10.099,80004,0.756,5.948,29.553,11490,231.274,6.44,1.828,0,29467264,176591,101.084,0.032
"ROU","Romania","Europe & Central Asia","High income",75.154,5.4,1.71,19.515,52.163,15503.469,5.798,85.503,84.881,83.033,58.239,82.864,3.279,121.142,33.212,11.593,3.818,27.599,13.823,60.394,43.513,50.437,93.95,27.061,63.205,16.657,16.456,13.795,15390,4.188,16.016,64.469,55.114,30.271,24.843,19048502,-0.385,14.3,9.4,89076,47.837,-0.517,17.967,230080,82.791,55.103,35.688,30.116,2294598,26799,25.222,3.886
"RUS","Russian Federation","Europe & Central Asia","High income",72.546,4.3,1.416,16.076,74.854,15625.633,6.879,90.418,100.123,92.773,53.915,NA,4.054,168.476,24.635,15.103,3.419,32.198,13.149,55.08,27.71,15.057,42.766,23.173,47.088,17.086,10.844,13.744,12890,-1.435,17.689,66.235,50.977,24.27,26.707,144236933,-0.353,12.9,8.9,765629,25.146,-0.215,11.708,16376870,8.807,13.158,7.428,49.784,82236409,732529,NA,-1.736
"RWA","Rwanda","Sub-Saharan Africa ","Low income",67.528,30.5,3.778,3.721,27.781,1007.06,5.928,28.017,148.752,44.155,7.413,NA,4.742,80.595,0.35,0.076,21.929,21.754,9.195,50.853,21.799,39.16,60.959,37.755,62.336,17.269,13.251,17.689,970,9.825,38.157,58.122,72.053,6.403,65.65,13651030,2.19,5.993,28.859,-9001,72.219,8.412,31.861,24670,553.345,80.037,50.201,11.269,1429703.1,14018,22.13,2.219
"SMR","San Marino","Europe & Central Asia","High income",85.708,1.3,1.136,21.024,97.114,54264.584,7.223,97.328,93.938,61.678,53.799,93.429,2.898,120.27,35.788,46.935,0.011,37.595,33.633,55.082,197.412,173.024,370.436,23.026,35.487,17.099,17.811,5.325,53950,7.898,13.04,65.936,51.665,31.887,19.778,33755,-1.462,7.8,6.1,-403,2.886,-1.451,NA,60,562.583,38.333,33.083,16.667,NA,NA,NA,3.924
"STP","Sao Tome and Principe","Sub-Saharan Africa ","Lower middle income",69.237,9.9,3.695,3.849,68.372,2389.737,5.774,58.568,NA,NA,NA,NA,5.194,86.778,2.025,1.105,13.932,4.355,0.734,78.591,19.672,45.32,64.992,8.293,104.269,13.086,NA,18.006,2820,0.169,38.787,57.365,74.322,6.709,67.614,226305,1.938,5.732,28.277,-592,31.628,2.229,NA,960,235.734,44.792,4.167,52.771,38672,1063,12.852,10.282
"SAU","Saudi Arabia","Middle East, North Africa, Afghanistan & Pakistan","High income",77.31,5,2.14,2.702,84.135,38510.228,5.314,100,102.139,122.158,73.749,119.841,NA,149.798,41.823,21.051,2.215,53.124,15.116,40.207,35.985,20.839,56.824,26.516,39.199,19.139,6.953,2.474,35110,12.001,24.645,72.653,37.641,3.72,33.921,32175224,4.419,2.57,15.217,977072,15.865,4.613,27.846,2149690,14.967,80.773,1.596,0.454,29005342.249,249798,NA,2.156
"SEN","Senegal","Sub-Saharan Africa ","Lower middle income",67.788,31.2,3.864,3.563,53.444,1574.028,4.044,56.828,84.273,45.376,15.648,56.87,5.952,118.15,1.404,1.683,16.333,24.9,15.561,49.796,26.699,52.698,79.397,44.915,65.938,15.146,18.592,9.697,1590,3.85,39.16,57.276,74.592,6.221,68.371,17651103,2.468,5.92,29.46,16425,46.556,4.772,35.258,192530,91.68,49.4,19.893,41.49,1213575.304,10831,32.182,10.541
"SRB","Serbia","Europe & Central Asia","Upper middle income",75.237,4.6,1.59,22.078,61.901,10024.819,8.584,83.538,96.628,91.954,69.805,96.049,3.083,129.813,29.346,38.236,5.338,25.222,14.84,54.274,60.738,71.175,131.913,26.384,65.7,18.353,23.893,11.982,9790,2.703,14.355,63.568,57.313,34.731,22.582,6664449,-2.517,16.3,9.3,40118,38.099,-1.645,34.062,84090,79.254,41.253,30.919,32.386,2406000,28757,38.387,6.904
"SYC","Seychelles","Sub-Saharan Africa ","High income",74.51,13.4,2.2,8.148,44.911,16682.699,4.399,84.834,97.765,76.882,13.93,99.871,3.659,163.43,29.831,15.158,2.458,12.123,5.641,70.161,90.953,100.625,191.579,18.499,71.013,20.159,NA,2.626,14390,9.88,20.31,71.542,39.778,11.388,28.39,119878,NA,7.8,13.1,1788,55.089,NA,NA,460,260.604,3.37,0.326,73.261,217754,13003,NA,9.492
"SLE","Sierra Leone","Sub-Saharan Africa ","Low income",61.275,58.1,3.876,3.175,44.267,860.371,4.804,21.509,163.174,NA,NA,103.135,4.908,107.882,NA,0.003,33.757,20.756,7.004,42.126,16.78,28.274,45.054,14.877,89.933,6.684,NA,27.208,920,5.314,38.976,57.848,72.866,5.489,67.377,8276807,2.226,8.523,31.071,-4000,55.733,3.435,34.721,72180,114.669,54.71,21.945,34.572,NA,NA,3.538,2.036
"SGP","Singapore","East Asia & Pacific","High income",82.895,2,1.04,12.691,100,91227.697,4.331,95.954,99.578,103.01,98.022,99.634,2.475,173.005,27.551,34.645,0.026,23.839,19.698,71.649,185.011,145.236,330.247,21.879,28.099,9.129,11.664,6.131,68100,4.01,12.005,75.304,32.795,16.853,15.942,5637022,3.309,6.3,7.9,214842,0,3.309,100,718,7851.006,0.919,0.78,21.184,22200217,120117,NA,28.031
"SVK","Slovak Republic","Europe & Central Asia","High income",76.966,5.1,1.57,17.571,53.19,21317.794,7.702,89.068,100.327,92.204,52.496,95.216,4.657,136.029,33.999,9.876,1.93,26.546,17.351,60.624,99.067,104.989,204.056,23.308,61.362,21.251,19.85,12.774,21890,0.545,15.968,66.461,50.464,26.437,24.027,5431752,-0.285,11,9.7,92314,46.81,-0.285,15.197,48080,112.973,38.457,27.517,40.056,1925.454,17.454,66.739,4.169
"SVN","Slovenia","Europe & Central Asia","High income",81.283,1.9,1.55,20.881,55.338,28360.304,9.627,88.912,100.639,107.875,82.392,97.251,5.281,126.459,32.01,31.857,1.625,27.991,19.935,58.17,94.316,92.331,186.647,24.571,53.955,19.488,21.031,8.834,29590,2.669,15.096,64.023,56.195,32.615,23.579,2112076,0.189,10.6,8.3,9014,44.662,0.249,NA,20136.4,104.888,30.329,8.892,61.27,1866,100,41.184,3.64
"SLB","Solomon Islands","East Asia & Pacific","Lower middle income",70.409,17.4,3.62,3.629,29.351,1877.781,4.824,28.017,NA,NA,NA,NA,8.487,62.073,0.107,0.893,31.97,19.306,10.106,48.782,28.132,46.704,74.836,20.879,70.81,26.46,22.075,5.518,2010,-2.584,37.743,58.628,70.566,6.189,64.376,781066,2.394,5.194,27.283,1567,70.649,4.676,NA,27990,27.905,3.834,0.822,90.086,112565.326,5780,34.706,2.776
"SOM","Somalia, Fed. Rep.","Sub-Saharan Africa ","Low income",53.931,89.2,6.255,2.542,53.501,573.141,2.847,27.6,NA,NA,NA,NA,0,49.68,0.668,0.511,NA,NA,NA,NA,17.681,73.077,90.758,23.65,124.307,7.439,1.781,NA,570,2.718,46.821,50.637,97.485,5.02,92.465,17801897,3.025,12.812,43.789,-92434,46.499,4.143,26.222,627340,28.377,70.343,1.753,9.288,NA,NA,3.912,6.233
"ZAF","South Africa","Sub-Saharan Africa ","Upper middle income",65.454,24.3,2.227,6.362,63.477,6534.249,8.745,78.293,102.402,104.535,23.727,97.102,6.156,160.729,3.123,2.099,2.606,24.982,12.445,62.272,33.539,31.408,64.947,15.672,63.421,18.776,26.02,7.04,6530,2.058,26.321,67.317,48.55,9.45,39.1,62378410,1.414,9.402,19.079,233284,36.523,1.455,15.318,1213090,51.421,79.418,9.892,13.995,12133966.35,141137,91.57,2.267
"ESP","Spain","Europe & Central Asia","High income",83.134,2.6,1.16,20.188,79.955,30319.499,9.68,94.486,102.985,119.646,95.027,98.193,4.586,123.4,35.785,39.069,2.37,21.223,11.028,67.602,39.672,38.794,78.466,22.69,56.386,20.046,15.471,8.391,32690,6.37,13.596,66.216,51.021,30.488,20.533,47786102,0.719,9.7,6.9,299779,20.045,0.932,17.571,499713.681,95.627,53.357,23.395,37.183,80908169.2,616748.6,88.112,4.656
"LKA","Sri Lanka","South Asia","Upper middle income",77.3,5.5,1.984,11.382,19.988,3342.637,3.983,48.3,92.985,88.192,22.368,95.151,1.204,151.727,9.636,11.308,8.448,29.806,19.651,57.067,21.56,25.123,46.683,27.272,69.062,7.23,7.277,49.721,3620,-7.349,22.69,65.927,51.682,17.265,34.417,22181000,0.113,8.1,12.4,-27435,80.012,0.922,14.112,61860,358.568,45.457,22.179,34.056,3252528,22834,NA,1.192
"KNA","St. Kitts and Nevis","Latin America & Caribbean ","High income",70.313,14.8,1.512,10.236,31.616,21011.574,5.526,75.762,127.69,119.884,NA,NA,3.558,116.924,46.745,33.403,1.186,21.751,4.404,65.098,NA,NA,NA,NA,NA,NA,NA,2.668,21420,10.48,18.58,71.185,40.478,14.379,26.099,46709,-0.116,11.658,11.958,0,68.384,0.122,NA,260,179.65,23.077,19.231,42.308,NA,NA,63.096,4.187
"LCA","St. Lucia","Latin America & Caribbean ","Upper middle income",72.67,16.2,1.387,9.003,29.098,12976.149,4.748,66.952,102.964,87.684,16.181,94.744,4.642,98.668,13.572,17.138,1.609,9.027,2.288,77.215,NA,NA,NA,NA,NA,NA,NA,9.653,11680,19.346,18.181,72.815,37.334,12.364,24.969,178781,0.145,8.455,11.417,0,70.902,5.995,NA,610,293.084,16.295,4.377,34.049,NA,NA,51.574,2.502
"VCT","St. Vincent and the Grenadines","Latin America & Caribbean ","Upper middle income",71.191,11.1,1.791,11.243,47.586,9693.559,4.605,74.755,111.969,128.182,41.498,107.242,7.076,102.334,28.997,10.795,4.639,14.617,3.867,64.871,NA,NA,NA,NA,NA,NA,NA,5.66,9520,3.111,21.904,66.852,49.582,16.818,32.765,102046,-0.776,11.45,12.393,-826,52.414,-0.501,NA,390,261.656,17.949,5.128,73.179,NA,NA,41.19,6.595
"SWE","Sweden","Europe & Central Asia","High income",83.059,2,1.53,20.342,88.404,54836.891,10.855,95.01,116.425,139.407,83.898,99.89,7.319,140.782,40.609,10.467,1.239,23.759,13.686,63.685,54.312,52.8,107.112,26.922,45.824,25.741,28.171,8.369,61930,1.255,17.489,62.169,60.851,32.72,28.131,10486941,0.681,9,10,58955,11.596,0.941,18.111,407280,25.749,7.354,6.207,68.7,15229955,158550,136.078,9.352
"CHE","Switzerland","Europe & Central Asia","High income",83.605,3.5,1.39,19.219,84.921,97809.096,11.599,96.453,101.363,103.392,74.153,95.064,4.864,123.971,46.675,34.169,0.598,25.975,19.924,70.79,74.965,61.271,136.236,26.659,48.232,11.415,8.676,2.835,97920,3.534,15.07,65.711,52.182,29.247,22.934,8777088,0.83,8.5,9.4,96424,15.079,1.681,19.046,39509.63,222.151,37.871,10.038,32.296,22773897,176436,NA,-1.446
"TJK","Tajikistan","Europe & Central Asia","Lower middle income",71.562,24.4,3.127,3.473,26.196,1052.179,7.629,48.914,99.967,90.889,37.283,NA,5.398,63.844,0.585,2.25,22.935,34.703,15.141,34.111,16.353,49.082,65.436,35.468,87.636,10.135,10.344,NA,1360,8,36.59,59.937,66.842,5.794,61.048,10182222,2.137,4.618,27.043,-17001,73.804,2.124,36.072,138790,73.364,28.073,6.044,3.068,479769.61,3709,10.417,1.624
